 MIS_CASE_ID_STG_4_DF,MIG_GET_ASS_STATUS_qry,WHERE ((CaseID_Assmnt_Grp_Qry.OASYS_SET_PK = MIG_Legacy_Reverse_Pivot.OASYS_SET_PK) AND(CaseID_Assmnt_Grp_Qry.MIG_GUID IS NOT  NULL )),LEFTOUTERJOIN ( CaseID_Assmnt_Grp_Qry ; MIG_Legacy_Reverse_Pivot )
 MIS_CASE_ID_STG_1_DF,CaseID_join_offence_block,WHERE offence_block_CASEID_Qry.OFFENCE_BLOCK_PK = ONR_OFFENCE_SENT_DETAIL_VW.OFFENCE_BLOCK_PK,LEFTOUTERJOIN ( offence_block_CASEID_Qry ; ONR_OFFENCE_SENT_DETAIL_VW )
 MIS_CASE_ID_STG_4_D_DF,MIG_GET_ASS_STATUS_qry,WHERE ((CaseID_Assmnt_Grp_Qry.OASYS_SET_PK = MIG_Legacy_Reverse_Pivot.OASYS_SET_PK) AND(CaseID_Assmnt_Grp_Qry.MIG_GUID IS NOT  NULL )),LEFTOUTERJOIN ( CaseID_Assmnt_Grp_Qry ; MIG_Legacy_Reverse_Pivot )
 MIS_CASE_ID_DF,CaseID_Additional_Details_Qry,REF_ASS_VERSION.VERSION_NUMBER = CaseID_Filter_AssessmentTypes_qry.VERSION_NUMBER,LEFTOUTERJOIN ( CaseID_Filter_AssessmentTypes_qry ; COURT )
 MIS_TR_BCS_CASEID_SPLIT_I_DF,Get_OASYS_Answer_Qry,WHERE (Get_OASYS_Question_CASEID_Qry.OASYS_QUESTION_PK = Get_REF_Answer_CASEID_Qry.OASYS_QUESTION_PK),LEFTOUTERJOIN ( Get_OASYS_Question_CASEID_Qry ; Get_REF_Answer_CASEID_Qry )
 MIS_TR_BCS_CASEID_SPLIT_DF,Mappings,WHERE (Q_AND_A_Reverse_Pivot.OASYS_SET_PK = Qry_TR_BCS.ASSESSMENT_ID),LEFTOUTERJOIN ( Qry_TR_BCS ; Q_AND_A_Reverse_Pivot )
 MIS_OFFENDER_DF,Join_Set_Qry,WHERE Derive_Controlling_Owner_Qry.OFFENDER_PK = STG_OFF_AREA.OFFENDER_PK,LEFTOUTERJOIN ( Derive_Controlling_Owner_Qry ; STG_OFF_AREA )
 MIS_ROHSCREENING_I_DF,Get_OASYS_Answer_ROSHSCREENING_Qry,WHERE Para_qry.OASYS_QUESTION_PK = Get_OASYS_Question_ROSHSCREENING_Qry.OASYS_QUESTION_PK,LEFTOUTERJOIN ( Get_OASYS_Question_ROSHSCREENING_Qry ; Para_qry )
 MIS_ROHSUMMARY_I_DF,Get_OASYS_Answer_ROHSUMMARY_Qry,WHERE Para_qry.OASYS_QUESTION_PK = Get_OASYS_Question_ROSHSUMMARY_Qry.OASYS_QUESTION_PK,LEFTOUTERJOIN ( Get_OASYS_Question_ROSHSUMMARY_Qry ; Para_qry )
 MIS_ROHSUMM_UPD_OFF_DF,CALC_VWRISKLVL_Qry,WHERE ROSHSUM_SECTION_Qry.OASYS_SET_PK = STG_ROHSUM_VWRISKLVL.ASSESSMENTGUID,LEFTOUTERJOIN ( ROSHSUM_SECTION_Qry ; STG_ROHSUM_VWRISKLVL )
 MIS_ROHFA_I_DF,Get_Answer_ROHFA_Qry,WHERE Get_Question_ROHFA_Qry.OASYS_QUESTION_PK = Para_qry.OASYS_QUESTION_PK,LEFTOUTERJOIN ( Get_Question_ROHFA_Qry ; Para_qry )
 MIS_ROH_CHECK_WIP_DF,Check_ROHFA_qry,WHERE Get_WIP_qry.ASSESSMENTGUID = Group_ROFHA_qry.ASSESSMENTGUID,LEFTOUTERJOIN ( Get_WIP_qry ; Group_ROFHA_qry )
 MIS_ROH_CHECK_COUNTS_DF,Check_ROHFA_qry,WHERE Get_Case_qry.ASSESSMENTGUID = Group_ROHFA_qry.ASSESSMENTGUID,LEFTOUTERJOIN ( Get_Case_qry ; Group_ROHFA_qry )
 MIS_ROHSCREENING_UPD_DF,Check_ROHFA_qry,WHERE ROHFA_INT.ASSESSMENTGUID = ROHSCREENING_INT.ASSESSMENTGUID,LEFTOUTERJOIN ( ROHSCREENING_INT ; ROHFA_INT )
 MIS_PSRREP_DF,Join_Question_Qry,WHERE (Join_Latest_CR_PK_Qry.OASYS_SET_PK = Get_MIG7_Question_Qry.OASYS_SET_PK),LEFTOUTERJOIN ( Join_Latest_CR_PK_Qry ; Get_MIG7_Question_Qry )
 MIS_PSRREP_D_DF,Join_Question_Qry,WHERE (Join_Latest_CR_PK_Qry.OASYS_SET_PK = Get_MIG7_Question_Qry.OASYS_SET_PK),LEFTOUTERJOIN ( Join_Latest_CR_PK_Qry ; Get_MIG7_Question_Qry )
 MIS_PSR_DF,Qry_Include_PSR_OFFENCE,WHERE Qry_Include_OASYS_SIGNING.OASYS_SET_PK = SubDesc_Qry.OASYS_SET_PK,LEFTOUTERJOIN ( Qry_Include_OASYS_SIGNING ; SubDesc_Qry )
 MIS_PSR_D_DF,Qry_Include_PSR_OFFENCE,WHERE Qry_Include_OASYS_SIGNING.OASYS_SET_PK = SubDesc_Qry.OASYS_SET_PK,LEFTOUTERJOIN ( Qry_Include_OASYS_SIGNING ; SubDesc_Qry )
 MIS_SAQ_I_DF,Get_Answer_SAQ_Qry,WHERE Get_Question_SAQ_Qry.OASYS_QUESTION_PK = Para_qry.OASYS_QUESTION_PK,LEFTOUTERJOIN ( Get_Question_SAQ_Qry ; Para_qry )
 MIS_RM2000_I_DF,RM2000_Get_Answer_Qry,WHERE RM2000_Get_Question_Qry.OASYS_QUESTION_PK = Para_qry.OASYS_QUESTION_PK,LEFTOUTERJOIN ( RM2000_Get_Question_Qry ; Para_qry )
 MIS_BSSP_STG_2_DF,Long_to_Varchar_BSSP_qry,WHERE ONR_BASIC_SENTENCE_PLAN_OBJ_VW.OASYS_SET_PK = Get_Basic_Qry.OASYS_SET_PK,ORDER BY  ONR_BASIC_SENTENCE_PLAN_OBJ_VW.OASYS_SET_PK asc;  ONR_BASIC_SENTENCE_PLAN_OBJ_VW.BASIC_SENT_PLAN_OBJ_PK asc,  ONR_BASIC_SENTENCE_PLAN_OBJ_VW.DISPLAY_SORT asc LEFTOUTERJOIN ( Get_Basic_Qry , ONR_BASIC_SENTENCE_PLAN_OBJ_VW )
 MIS_BSSP_STG_1_DF,Get_OASYS_Answer_BSSP_Qry,WHERE Get_OASYS_Question_BSSP_Qry.OASYS_QUESTION_PK = Para_qry.OASYS_QUESTION_PK,LEFTOUTERJOIN ( Get_OASYS_Question_BSSP_Qry ; Para_qry )
 MIS_BSSP_I_DF,Lookup_BSSP_Qry,WHERE STG_BSSP_3.ASSESSMENTGUID = BSSP_Qry.ASSESSMENTGUID,LEFTOUTERJOIN ( BSSP_Qry ; STG_BSSP_3 )
 MIS_ISSP_I_DF,Get_OASYS_Question_ISSP_Qry,WHERE (Data_Transfer_1.OASYS_SET_PK = Data_Transfer.OASYS_SET_PK),LEFTOUTERJOIN ( Data_Transfer ; Data_Transfer_1 )
 MIS_ISSP_D_DF,Get_OASYS_Question_ISSP_Qry,WHERE Get_Question_Outer_qry.OASYS_SET_PK = Get_INITIAL_Qry.OASYS_SET_PK,LEFTOUTERJOIN ( Get_INITIAL_Qry ; Get_Question_Outer_qry )
